Processed Query;Total Tokens;Stop Words;Unknown Words;Method Calls;Verbs;Nouns;Proportion of Verbs;Proportion of Nouns;Likert;Answers;
How to convert a file to a uri;8;1;0;0;1;2;12.5;25.0;2;5;
call default method;3;0;0;0;0;3;0.0;100.0;2;5;
why is java bad;4;2;0;0;1;1;25.0;25.0;1;5;conceptual
http request;2;0;0;0;0;1;0.0;50.0;3;5;
how to deserialize json string to object with jackson;9;3;0;0;2;3;22.22;33.33;1;1;no obvious reason
how to rollback git commit;5;2;0;0;1;2;20.0;40.0;2;5;
How to verify optionnals;4;1;1;0;1;1;25.0;25.0;1;5;typo
subscribe to queue;3;1;0;0;2;0;66.67;0.0;2;5;
how to remove an element from an ordered array;9;4;0;0;2;2;22.22;22.22;2;5;
append;1;0;0;0;0;0;0.0;0.0;3;5;
App log in;3;1;0;0;0;2;0.0;66.67;1;5;typo
how  to draw string with different colors depending on the characters;11;6;0;0;2;3;18.18;27.27;1;5;no obvious reason
Animation in xojo;3;1;0;0;0;2;0.0;66.67;1;5;too specific
how to change a private field;6;2;0;0;1;1;16.67;16.67;1;5;no obvious reason
erase disk;2;0;0;0;1;1;50.0;50.0;1;5;environment
map video onto sphere;4;1;0;0;0;3;0.0;75.0;3;5;
Remove a substring from a string;6;1;0;0;1;2;16.67;33.33;3;5;
concatenate two arrays;3;1;0;0;0;2;0.0;66.67;3;5;
How do I make a new scope in CDI;9;4;0;0;2;2;22.22;22.22;2;5;
edit a tree;3;0;0;0;1;1;33.33;33.33;3;5;
Dictionary;1;0;0;0;0;1;0.0;100.0;1;10;no obvious reason
how to calculate how many dead hookers fit in a trunk;11;4;1;0;2;2;18.18;18.18;1;5;joke
why would woodchucks whittle wood when whacking water would wield wet?;11;3;0;0;3;3;27.27;27.27;1;5;joke
is epstein alive;3;1;0;0;1;1;33.33;33.33;1;5;joke
redirect stdin;2;0;0;0;1;1;50.0;50.0;3;5;
How to write WCF service without SOAP action routing?;9;2;0;0;2;4;22.22;44.44;1;5;other language
How to convert an array of arrays to lists of lists?;11;3;0;0;1;3;9.09;27.27;1;5;too specific
How to stable sort an array;6;2;0;0;0;2;0.0;33.33;1;5;no obvious reason
How to remove objects in two dimensional list like structure;10;4;0;0;1;3;10.0;30.0;2;5;
how to parse yaml to data structure;7;2;0;0;1;3;14.29;42.86;1;5;no obvious reason
How to convert int to string;6;1;0;0;1;2;16.67;33.33;1;5;no obvious reason
how to remove every second element from a linked list;10;5;0;0;2;2;20.0;20.0;1;5;too specific
How to connect to a websocket using a proxy?;9;2;0;0;2;2;22.22;22.22;2;5;
add column like excel;4;1;0;0;2;1;50.0;25.0;2;5;
Get Size of an Array;5;2;0;0;1;2;20.0;40.0;3;5;
how to write an event store;6;3;0;0;1;2;16.67;33.33;3;5;
wrap lines in a paragraph;5;1;0;0;0;3;0.0;60.0;1;5;too specific
Convert image to ascii;4;1;0;0;2;1;50.0;25.0;2;5;
spring boot security remove default login;6;0;0;0;1;5;16.67;83.33;1;5;no obvious reason
How to declarate an abstract class;6;2;0;0;1;1;16.67;16.67;1;5;typo
what is the difference between an array and an arraylist;10;6;0;0;1;3;10.0;30.0;2;5;
merge k sorted lists;4;0;0;0;2;2;50.0;50.0;1;5;too specific
print hello world;3;2;0;0;0;2;0.0;66.67;2;5;
How to basic?;3;1;0;0;0;0;0.0;0.0;1;5;typo
how to prevent two threads from modifying the same variable at the sam;13;7;0;0;2;3;15.38;23.08;1;5;conceptual
how can i give my program arguments;7;4;0;0;1;2;14.29;28.57;3;5;
How to unitest in java;5;2;0;0;1;1;20.0;20.0;2;5;
Create a socket;3;0;0;0;1;1;33.33;33.33;2;5;
how to traverse a stream recursive;6;2;0;0;1;1;16.67;16.67;2;5;
how to clone an object;5;3;0;0;0;2;0.0;40.0;3;5;
what is a lambda expression?;5;2;0;0;1;2;20.0;40.0;2;5;
how to declare a singleton;5;2;0;0;1;1;20.0;20.0;1;10;no obvious reason
How to download a webseite;5;1;0;0;1;1;20.0;20.0;2;10;
get Text from a file;5;2;0;0;2;1;40.0;20.0;2;5;
cast char to int;4;1;0;0;2;1;50.0;25.0;1;5;no obvious reason
how to get number of element in a list;9;5;0;0;1;3;11.11;33.33;1;5;no obvious reason
how to read from the command line;7;5;0;0;1;2;14.29;28.57;1;5;environment
how do i declare a rest request handler;8;2;0;0;2;3;25.0;37.5;1;5;no obvious reason
how do i read a file line by line;9;4;0;0;2;2;22.22;22.22;3;5;
how do i generate a cryptographic checksum;7;2;0;0;2;1;28.57;14.29;3;5;
How to create a HashMap?;5;1;0;0;1;1;20.0;20.0;1;5;no obvious reason
why is sorting slow!;4;2;0;0;2;0;50.0;0.0;3;5;
what is call-by-name in java;5;3;0;0;1;2;20.0;40.0;2;5;
pip for java;3;1;0;0;0;2;0.0;66.67;1;5;environment
rtrim in java;3;1;0;0;0;2;0.0;66.67;2;5;
Eclipse see workspace log;4;1;0;0;1;3;25.0;75.0;1;5;environment
kill all humans;3;1;0;0;1;1;33.33;33.33;1;5;joke
Read Json from a web app;6;1;0;0;0;4;0.0;66.67;1;1;no obvious reason
what is max int;4;2;0;0;1;2;25.0;50.0;1;5;conceptual
remove elements from an array;5;2;0;0;1;2;20.0;40.0;1;1;no obvious reason
How to speed-up eclipse;4;1;0;0;1;1;25.0;25.0;1;5;environment
How to read a text file line by line;9;3;0;0;1;3;11.11;33.33;2;5;
iterative traverse a tree;4;0;0;0;0;2;0.0;50.0;3;5;
Declare variable;2;0;0;0;1;1;50.0;50.0;1;1;no obvious reason
hot to define a class;5;1;0;0;1;1;20.0;20.0;1;5;conceptual
reversing an array of strings inline;6;2;0;0;2;2;33.33;33.33;1;5;no obvious reason
How to compare Integers;4;1;0;0;1;1;25.0;25.0;2;5;
Given an array of integers, return indices of the two numbers such tha;13;5;1;0;1;5;7.69;38.46;2;5;
upload file to amazon s3;5;1;0;0;1;3;20.0;60.0;3;5;
how to add icon to an .exe file;8;3;0;0;1;3;12.5;37.5;1;1;environment
convert list to hashmap;4;1;0;0;1;2;25.0;50.0;1;5;no obvious reason
jQuery in iframe?;3;1;0;0;0;2;0.0;66.67;1;10;other language
How to draw a boundary around a set of points;10;3;0;0;1;3;10.0;30.0;1;5;too specific
how do I draw a cube on the screen;9;4;0;0;2;2;22.22;22.22;2;5;
How to open a socket?;5;1;0;0;1;1;20.0;20.0;3;5;
string to int in typescript;5;2;0;0;1;2;20.0;40.0;3;5;
how to create full height slideshow buttons;7;2;0;0;1;3;14.29;42.86;1;10;
how to increase an integer;5;3;0;0;1;1;20.0;20.0;1;5;
hwo to change a method;5;1;0;0;1;2;20.0;40.0;1;5;
string to int;3;1;0;0;1;1;33.33;33.33;3;5;
how to get system cpu count;6;3;0;0;1;3;16.67;50.0;1;5;
how to write a for loop;6;3;0;0;1;1;16.67;16.67;2;5;
monkey sort;2;0;0;0;0;2;0.0;100.0;1;5;
How do I make a string uppercase;7;2;0;0;2;2;28.57;28.57;2;5;
spring boot default encoding;4;0;0;0;1;3;25.0;75.0;3;10;
Async function with await;4;1;0;0;1;2;25.0;50.0;3;5;
typescript react defaultprops;3;0;0;0;1;2;33.33;66.67;1;5;
split string in chunks with defined lenght;7;2;0;0;1;3;14.29;42.86;1;5;
hot to coerce a string into an array of characters;10;4;0;0;1;3;10.0;30.0;1;5;
How to create main screen;5;1;0;0;1;1;20.0;20.0;1;5;
mp3 decoder;2;0;0;0;0;2;0.0;100.0;1;5;
How to write a file driver;6;1;0;0;1;2;16.67;33.33;1;5;
How to add spring security to spring boot;8;1;0;0;1;3;12.5;37.5;3;5;
Count all prime numbers;4;1;0;0;1;1;25.0;25.0;2;5;
How to remove an entry from database;7;3;0;0;1;2;14.29;28.57;1;10;
How to deploy a rails app to heroku when the rails app is not in the r;17;6;0;0;2;4;11.76;23.53;1;5;
spring boot transaction;3;0;0;0;0;3;0.0;100.0;3;5;
spring boot run jar;4;1;0;0;1;3;25.0;75.0;1;5;
command;1;0;0;0;0;1;0.0;100.0;1;5;
How to count words in a string;7;3;0;0;1;2;14.29;28.57;3;5;
Primefaces menuitem width;3;0;0;0;0;3;0.0;100.0;1;5;
how to remove one element from an vector?;8;5;0;0;1;2;12.5;25.0;2;5;
how do i write a lambda expression;7;2;0;0;2;2;28.57;28.57;3;5;
Fill Array;2;0;0;0;1;1;50.0;50.0;2;5;
Okhttp log queries;3;0;0;0;0;3;0.0;100.0;2;5;
How to remove workgroup from array;6;2;0;0;1;2;16.67;33.33;1;5;
remove item from stream;4;1;0;0;1;2;25.0;50.0;2;5;
springboot;1;0;0;0;0;1;0.0;100.0;1;5;
how to use list;4;3;0;0;1;1;25.0;25.0;1;10;
how to bind postgres jsonb with jdbi3;7;3;0;0;1;3;14.29;42.86;2;5;
how can i split a class;6;2;0;0;1;1;16.67;16.67;1;10;
Multithread deadlock;2;0;0;0;0;1;0.0;50.0;3;5;
hibernate stale exception;3;0;0;0;1;1;33.33;33.33;1;5;
change log levels in spring cloud;6;1;0;0;0;5;0.0;83.33;2;5;
how to edit minecraft minecart speed?;6;2;1;0;1;3;16.67;50.0;1;5;
How to implement an undo manager functionally;7;2;0;0;2;1;28.57;14.29;2;5;
webform alternative;2;0;0;0;0;1;0.0;50.0;2;10;
Sort array of objects by key;6;2;0;0;0;4;0.0;66.67;3;5;
how to remove element from array;6;3;0;0;1;2;16.67;33.33;3;5;
How to create folders;4;1;0;0;1;1;25.0;25.0;2;5;
P r int to standard out;6;2;0;0;0;3;0.0;50.0;1;5;
Print to standard out;4;2;0;0;1;0;25.0;0.0;1;5;
How to create an array with no limits;8;4;0;0;1;2;12.5;25.0;3;5;
microservices;1;0;0;0;0;1;0.0;100.0;3;5;
Difference& and &&;3;1;0;0;0;1;0.0;33.33;1;5;
spark reducer to count null value in Java;8;3;0;0;2;3;25.0;37.5;1;5;
detect ios version;3;0;0;0;1;2;33.33;66.67;1;1
get file from ec2 url;5;2;0;0;1;3;20.0;60.0;1;5;
I'd like to remove a single element from an array;10;4;0;0;2;2;20.0;20.0;1;5
Play music;2;0;0;0;1;1;50.0;50.0;3;5;
multiple path in makefile;4;1;0;0;0;2;0.0;50.0;1;5;
Stored procedures;2;0;0;0;1;1;50.0;50.0;1;10;
how to remove inside border decoration from JButton;8;4;0;0;1;3;12.5;37.5;1;5;
How to toggle a css class;6;1;0;0;1;2;16.67;33.33;1;5;
image div;2;0;0;0;0;2;0.0;100.0;3;5;
Compute normal distribution density;4;0;0;0;1;2;25.0;50.0;1;5;
Asynchronous nio download file from url;6;1;0;0;0;4;0.0;66.67;2;5;
convert a date to a string;6;2;0;0;1;2;16.67;33.33;3;5;
download files from list of urls java;7;2;0;0;0;4;0.0;57.14;1;5;
manage duplicate photos;3;0;0;0;2;1;66.67;33.33;3;5;
how do I get json from a rest API endpoint;10;4;0;0;2;4;20.0;40.0;2;5;
how to convert a number to a string;8;2;0;0;1;2;12.5;25.0;1;5;
how to prevent race conditions in go;7;4;0;0;1;3;14.29;42.86;1;5;
How does hashmap implement entry;5;1;0;0;2;2;40.0;40.0;1;5;
Hibernate;1;0;0;0;1;0;100.0;0.0;1;5;
how use future;3;2;0;0;1;1;33.33;33.33;1;5;
how create map;3;1;0;0;1;1;33.33;33.33;1;5;
opps;1;0;0;0;0;1;0.0;100.0;1;5;
sapui5 add a grid;4;0;0;0;1;2;25.0;50.0;1;5;
Rest API transformation;3;0;0;0;1;2;33.33;66.67;1;5;
BIGDECIMAL division;2;0;0;0;0;2;0.0;100.0;3;5;
spring controller inherit method request mapping;6;0;0;0;1;5;16.67;83.33;2;10;
how to change elasticsearch data location;6;2;0;0;1;2;16.67;33.33;1;5;
Make a while loop;4;1;0;0;1;2;25.0;50.0;3;5;
nanohttpd json service;3;0;0;0;0;3;0.0;100.0;1;5;
labview empty file;3;0;0;0;0;2;0.0;66.67;1;5;
labview delete file content;4;0;0;0;1;3;25.0;75.0;1;5;
how to create jenkins subversion web hook;7;2;0;0;1;4;14.29;57.14;3;10;
How to configure ejb timer service;6;1;0;0;1;3;16.67;50.0;3;5;
Opensaml module-inf open;3;0;0;0;0;2;0.0;66.67;1;5;
Create hasmap;2;0;0;0;1;1;50.0;50.0;1;5;
tabu search;2;0;0;0;0;2;0.0;100.0;1;5;
array sort;2;0;0;0;0;2;0.0;100.0;1;5;
How to create an array in java;7;3;0;0;1;2;14.29;28.57;3;5;
intended espresso;2;0;0;0;0;1;0.0;50.0;3;5;
How to format a date;5;2;0;0;0;2;0.0;40.0;2;5;
how to remove element in array;6;3;0;0;1;2;16.67;33.33;1;10;
Call a method;3;0;0;0;1;1;33.33;33.33;3;10;
group by jpa;3;1;0;0;0;2;0.0;66.67;1;10;
integrate graphql to project;4;1;0;0;1;2;25.0;50.0;3;10;
Data Structure;2;0;0;0;0;2;0.0;100.0;1;10;
how to remove the second element of a list;9;5;0;0;1;2;11.11;22.22;3;5;
android do not concatenate text displayed with settext(). use resource;10;4;0;0;2;5;20.0;50.0;1;10;
how to resolve mismatched dependencies;5;2;0;0;1;1;20.0;20.0;2;5;
Rest api batch;3;0;0;0;1;2;33.33;66.67;3;10;
How to saveAsTable with pyspark;5;2;0;0;0;1;0.0;20.0;1;10;
loop on array and change value;6;3;0;0;0;4;0.0;66.67;2;10;
What is ews in office web add ins;8;2;0;0;2;3;25.0;37.5;1;10;
how to save uri in sharedpreference;6;3;0;0;1;2;16.67;33.33;2;10;
android find calling function;4;0;0;0;2;2;50.0;50.0;1;10;
how to scroll coordinator;4;2;0;0;1;1;25.0;25.0;1;10;
vertx;1;0;0;0;0;1;0.0;100.0;3;10;
How to print something on the console?;7;4;0;0;1;2;14.29;28.57;1;1;
Unity OnApplicationQuit force close;4;0;1;0;0;4;0.0;100.0;1;10;
How to order a list using stream api?;8;2;0;0;2;3;25.0;37.5;1;10;
build an http REST API;5;1;0;0;1;2;20.0;40.0;1;10;
custom http request method;4;0;0;0;0;4;0.0;100.0;3;5;
remove 5th element from array;5;1;0;0;1;2;20.0;40.0;2;10;
equivalent of dictionary;3;1;0;0;0;2;0.0;66.67;2;10;
normalize two arrays based on standard curve;7;2;0;0;2;2;28.57;28.57;1;1;
reading files;2;0;0;0;1;1;50.0;50.0;1;10;
instantiate a class;3;0;0;0;1;1;33.33;33.33;2;10;
datables laravel;2;0;0;0;0;1;0.0;50.0;1;10;
how implement datatables plugin;4;1;0;0;1;2;25.0;50.0;1;10;
Barby code;2;0;1;0;0;2;0.0;100.0;1;10;
how to customize background color filling;6;2;0;0;2;2;33.33;33.33;3;10;
How to read keyboard;4;1;0;0;1;1;25.0;25.0;2;10;
Pandas concatenate dataframes;3;0;0;0;0;3;0.0;100.0;1;10;
how to add context path in apache tomcat;8;3;0;0;1;3;12.5;37.5;3;10;
Limitar casas decimais;3;0;2;0;0;1;0.0;33.33;1;10;
modify properties in properties file;5;1;0;0;1;2;20.0;40.0;2;10;
how to dispose jframe;4;2;0;0;1;1;25.0;25.0;1;1;
how to remove element form link list;7;2;0;0;1;4;14.29;57.14;1;10;
fail to obtain db;4;2;0;0;2;1;50.0;25.0;1;10;
java string buffer;3;0;0;0;0;3;0.0;100.0;1;10;
write toml file;3;0;0;0;1;2;33.33;66.67;1;10;
write toml;2;0;0;0;1;1;50.0;50.0;1;10;
serialise toml;2;0;0;0;0;2;0.0;100.0;1;10;
toml;1;0;0;0;0;1;0.0;100.0;1;10;
implement masstransit;2;0;0;0;1;1;50.0;50.0;2;10;
how to splice from an array;6;4;0;0;0;2;0.0;33.33;2;10;
Connect to api;3;1;0;0;2;0;66.67;0.0;2;10;
stream only one result;4;2;0;0;0;2;0.0;50.0;2;10;
upgrading jdk;2;0;0;0;1;1;50.0;50.0;2;10;
finding my are;3;2;0;0;2;0;66.67;0.0;1;10;
How to run scheduled jobs;5;2;0;0;1;1;20.0;20.0;3;10;
How to use jason;4;2;0;0;1;1;25.0;25.0;3;10;
How to obfuscate an in-memory jar file;7;2;0;0;1;2;14.29;28.57;1;10;
how to plot data;4;2;0;0;1;1;25.0;25.0;1;10;
how can I get the absolute value of an integer;10;7;0;0;1;2;10.0;20.0;1;10;
Json;1;0;0;0;0;1;0.0;100.0;1;10;
