undermining|assault
pity|severity,cruelty,inhumanity,rigor,revenge,pitilessness,ferocity,ruthlessness,harshness,hardness,sternness,hard-heartedness,truculence,mercilessness,brutality,barbarity
circumscribed|large,measureless,infinite,^boundless,limitless,vast
freshness|staleness,lassitude,languor
infatuation|clear-sightedness,soundness,sanity,sagacity,wisdom
uncertain|conclusive,explicit,inevitable,sure,perennial,sealed,plain,certain,regular
unimportant|prominent,critical,crucial,emphatic,fundamental,significant,great,important,eventful,extraordinary,sale,weighty,fire,serious,urgent,vital,primary
beautiful|monstrous,repulsive,bad,plain,horrible,ugly,frightful,hideous,home
rectify|forefend,falsify,err,deteriorate
antonym|antonym,synonym
worked|fallow
pith|chaff
accuser|advocate
worker|nonworker,vagabond
defined|limitless,undefined
calm down|agitate
element|total,amount,gross,mass,aggregation,whole,sum,totality,aggregate
plantigrade|digitigrade
cacodaemon|eudemon
mendacious|honest,veracious
restraint|indulgence,manumission,expression,unrestraint,advice,wrath,gust
ivar|payment
infringe|maintain,preserve,conserve,observe
stabilise|destabilise,destabilize
cut|rough,hail
placidity|wrath
starve|feed,be full,satisfy,nourish
dread|anticipation,anticipate,defy,courage
harass|soothe,relieve,inspirit,refresh,animate,bewitch,comfort,solace
sottish|sad
untamable|manageable
irreverent|reverent,low
reported|notorious,unreported,heal
unappealing|sympathetic,appealing
distribute|centralize,keep,retain,reserve,gather,amass,restrict,collect,hold
shout|whisper
prevented|limitless
creation|zero,mankind
inexpression|complexion
think|forget,counsel,machinate
ingredient|incongruity,refuse,counteragmt,aggregation,residuum
force out|hire
absolution|charge,vengeance,accusation,condemnation,censure,penance,fasting,conviction,purgation,flagellation
reporter|harbinger
torture|enrapture,happiness,paradise
unmanly|manfully,manly
bracteate|ebracteate
symmetrically|asymmetrically
decrypt|encode
unimposingness|solemnity
thing|nature
ordinal|cardinal
insubstantial|material,subsidy
shapely|monstrous,unshapely,ugly,wry
litigant|arbiter
zygodactyl|heterodactyl
apparel|nudity,deshabille,tatters,undress,rags
pietist|infidel
domestic|undomestic,public,alien,strange,foreign
initiate|uninitiate,stop,depose
mark down|mark up
amends|offense,affront,fault,injury,depredation,insult
glare|smolder,burn,waver,flicker,shade,j,darken,scintillate,obscure,fitfully,glister,glimmer,shimmer,flash
terrestrial|amphibious,celestial,aquatic,heavenly,marine
deception|truth,honesty,victuals,advice,veracity,lesson,frankness,simplicity,guilelesmtss,candor,sincerity
little girl|male child
stability|inconstancy,unstableness,instability,inventory
actual|de jure,virtual,ostensible,theoretical,groundless,possible,pray,supposititious,visionary,nominal,romantic,hypothetical,conjectural,chimerical,potential,fabulous,fictitious
dunce|philosopher,scholar
miunderstanding|comprehension
barreled|unbarreled
give suck|bottlefeed
proper noun|common noun
starva|aliment
speckless|machine,variegated
adorned|unadorned,bald,simple
low-level|dominant
solubility|insolubility
penitence|gratulation,hardheartedness,obduracy,self-approval
assume|allow,prove,doff,concede,argue,waive,abandon,infer,demonstrate,forego,grant,resign,surrender
fetid|fragrant,perfumed,scented,balmy,aromatic,inodorous,fresh,sweet
clumsiness|dexterity,knack,ingenuity,energy
mellow|acid,green,glaring,hoarse,harsh,tart,discordant,hard,sour,unripe,haw,sharp
memory|unmindfulness,oversight,obliviousness,/orgetfulnesa,oblivion
warranted|gratuitous
intercede|inter-
indefinite|definite,distinct,graphic
disaster|boon,fortune,happiness,victory,felicity,prosperity,good,profit,benefit,blessing,gain
obscuration|effulgence,victuals,revelation,sight
hitch|rotate,unhitch,slide,continue,run,glide,flow
chilling|warm,glowing
starry|starless
progeny|root,forefather
gentleness|inclemency,acerbity,steepness,abruptness,acrimony,ask,violence
narrow down|diversify
discordant|similar,mellow,mellifluous,musical,pertinent,suggestion,melodious,sweet,accordant,harmonious,euphonious
selfcomplacency|repentance
synclinal|anticlinal
bicker|sympathize,harmonize,understand,agree
stylish|vulgar,antiquated,styleless,unfashionable
shorn|unsheared
short|lank,perfect,adequate,infinite,copious,provided,for,tedious,do,long,extended,high,sufficient,civil,prolix,broad,tall,large,indirect,abundant,suave,circuitous,lengthy,enough,great,complaisant,retentive,plentiful,wordy,verbose,tenacious,ample,protracted,complete
replete|blank,devoid
blemish|integrity,purity,wholeness,honor,unsulliedness,perfection
enfranchise|disenfranchise,disqualify
rewarding|unrewarding
abreast|behind,ahead,astern
dogmatic|practical,vacillating,considerate,active,diffident,modest
regulate|deregulate,hoax
listless|energetic,engaged,curious,eager,thoughtful,careful,attentive,active,absorbed,lively,spirited,alert,agape,interested,earnest,heedful
encircle|waste,stretch,void,enclosure,wilderness,desert,wild,space,open,prairie,clearing,enclose
nicety|roughness,inaccuracy,coarseness,rudeness
sadistic|masochistic
extant|obsolete,extinct
consistency|subtility,incongruity,incoherence,tenuity,volatility,inconsistency,contradiction,contrariety
unblock|freeze,block
specifically|generally
enter|exit,leave,drop out
muster in|discharge
indirectness|directness
convincing|unconvincing,lame
hostage|dictator,conqueror
wakefulness|sleepiness,lethargy
grouping|medley
creative|uncreative,imitative
fat-free|fatty
monoploid|diploid,polyploid
unprogressiveness|enterprise
efferent|afferent
pro-life|pro-choice
file in|file out
remissness|industry,care
bright|foggy,stupid,wan,hazy,dim,dingy,paint,lowering,tedious,dreary,lurid,sable,dark,backward,bald,dimmed,dull
bouchure|inlet
planned|unplanned
gladsome|mournful
benefactor|oppressor,malefactor,enemy,destroyer,brute,beggar
unthematic|thematic
frivolous|important,solid,grave,weighty,serious,earnest,sedate
live birth|stillbirth
assure|worry,dismay,astonish
gracious|boorish,rude,ungracious,overweening,graceless
planner|mechanic
humorlessly|humorously
performer|critic
dehumanize|humanize
toppling|spy
precarious|sure,spy,pray
heterogeneity|'quality,classification,homogeneity
downtime|uptime
evince|conceal,negative,suppress,disprove
fetch|take away
well-considered|crude
nonpayment|defrayment,payment
oasis|desert
audibly|inaudibly
compact|lax,crush,decompress,loose,evaporate,lengthy,uncompress,weak
possession|renouncing,abeyance,occupancy,abandoning,resignation,dispossession,bauble,surrender
multivalent|univalent,monovalent,bivalent
extrasensory|sensory
perihelion|aphelion
disconnected|gradual,legato,adjacent
enlightening|unedifying
emptiness|load,fullness
ebb out|tide
audible|inaudible
unvarying|varied,multiform
majesty|meanness,paltriness,humility
depredation|amends,restitution,compensation,restoration,reparation
hazard?|device
nonconductor|conductor
nimble|dilatory,inactive,slow,inert,sluggish,dull,unready,clumsy,heavy
theological|laical
meekness|impudence,price
changeableness|industry
critical|sure,inconclusive,settled,retrieved,uncritical,noncritical,redressed,unimportant,inexact,decided,und>iscriminating,loose,safe
deceptive|hearty
unsensitive|passage
de-|journey,absolute
modulated|unmodulated
inducement|compulsion,occurrence,event
guarded|forgotten,exposed
benevo~|virulence
declining|superior
equitable|unjust,equipage,arbitrary,partial,inequitable
ownerless|owned
perspicuity|unintelligibility,incomprehensibility,indefiniteness,doubtfulness,mysticism,turbidness,confusion,obscurity
noncellular|cellular
antagonist^|partisan
specimen|variety
exotic|primeval,aboriginal
introduction|conclusion,exportation,completion,sequence,eduction,elision,ejection,end,extraction,elimination,estrangement,egress
annals|hearsay,romance,legend,tradition,lays,story
revenge|excuse,forgiveness,grace,pardon,pity,compassion,reconciliation,mercy
intemperance|moderation,abstinence,temperance
utopia|dystopia
crescendo|decrescendo
concentration|dilution
heavily|lightly
non-contact|friction
work time|time off
confession|renunciation,apostasy,refutation,heresy,protest,abjuration
kingly|kingdom
equitably|inequitably
further|impediment
cheerless|buoyant,cheerful,air,jolly
contracted|expanded,large,wide,broad
supportable|intolerable
instigate|balk,warn,admonish,arise,reprove,restrain,discourage,axt,repress,unthhold,retard
parliament|conspiracy
disregardful|painstaking
der|district
unpriestly|priestly
noncommissioned|commissioned
gravitation|levitation
exemplar|copy
circuitously|directly
de~|honor,culmination,inlet
servitude|freedom,dominion,liberty
memoir|mediocre,trivial,insignificant,ordinary,memorable,commonplace,story
dismantlement|fabric,assemblage,building
carefully|incautiously,carelessly
going|arrival
shock|enchantment,enchant
partisanship|impartiality
nonionic|ionic,ionized
prejudiced|equipage,broad,just
bodied|unbodied
jubilantly|unhappily
attitude|condition,essence,amorphism,state
average|extraordinary,superior,perfect,excellent,excessive,enormous,extreme
edulcorate|sour
compare|company
pluralism|monism
undemocratic|democratic
off-season|high season
cared-for|uncared-for
interstice|suture,seam,stop-gap
unlike|equal,alike,similar,like
shoed|unshod
uncork|cork
congruous|incongruous,repugnant,heterogeneous
business|profession,indifference,pastime,inactivity,indolence,manner,bustle,unconcern,idleness,circumstance,stagnation,diversion,vacation,quiet,axt,leisure,vacancy
botching|workmanship
partly|the,extent,altogether,wholly,completely,to,entirely,full
constrained|voluntary
achromatinic|chromatinic
countervail|weigh,unbalance,overthrow,dou>n
rimmed|rimless
premeditated|extemporaneous,offhand
caenogenesis|palingenesis
detrude|heave
finical|effective,unaffected
borrow|loan,lend
maximum|minimal,fragment,initiative,abortion,least,icane,morsel,minimum,commencement,decrease,incompletion
unseeded|seeded
desert|oasis,accompany,concourse,occupy,keep,encircle,throng,pasture,support,meadow,hold
anathemize|bless
quarter|carnage
die|abound,recover,be,survive,grow,vegetate,bevive,remain,born,luxuriate,develop,float,exist,flourish,originate,germinate,record,strengthen,live,surrender
fragrant|malodorous,scentless,stinky,putrid,inodorous,fetid
disorganised|organized
nontaxable|taxable
unusualness|usualness
din|explosion,silence,crash
dim|light,gorgeous,manifest,bright,clear,flaring,distinct,vivid
alto rilievo|low relief
dip|ventilate,evaporate,dry,air,vaporize,drain,parch
retrieved|critical
exemplary|detestable,exceptionable,objectionable
dis|occupancy
desuetude|prevalence,celebration,practice,habit,use,custom,usage,exercise,vogue,operation
plurality|identity
fruition|loss,disappointment,non-attainment
forgotten|guarded,remembered,famous,regarded,cherished,treasured,present
di~|quote,enterprising
impair|restore,improve,betrothal,mend
connectedly|afresh
chartered|unchartered
directness|indirectness,circumlocution,diversion,intricacy,inflection
static|erratic
untidiness|tidiness
journey|sojourn,tarrying,abide,de-
suiting|opposite
finally|moreover
strap|unstrap
publicly|privately
aromatic|offensive,malodorous,scentless,noisome,rank,fetid
hideous|beautiful,lovely,tasteful,attractive,captivating,heavenly,graceful,elegant
inventive|fertile,uninventive,slow,imitative,unskilful
mendacity|truth,uprightness,honesty,veracity,accuracy,exactness,rectitude
laced|unlaced
acceptance|proposal,assignment,refusal,decline,exclusion,repudiation,rejection,trial
cognizable|unknowable
repatriate|exile,expatriate
sanctimoniousness|piety
impermeable|permeable,penetrate,soft
expiration|beginning
anesthetize|bring to
narrowing|widening,broadening
inoculate|prune,divest,disabuse
deserving|abandoned
distract|engross,fix,unite,compose,absorb,concentrate,collect
inkiness|white
virtual|explicit,actual,categorical,definite,direct,emphatic,expressed,stated
proportionate|disproportionate
unorganized|organized
back|give,forward,ahead,progress,front,veer,urge,look,advance,persuade
apposite|untimely,irrelevant,impertinent,misplaced,unfitting
resisting|yielding,weak
foppish|dowdy,slovenly,unassuming,clownish,modest,unaffected
good weather|bad weather
company|disconnect,compare,distinguish,contrast,pit,retirement
coenobitical|eremitic
unfeelingly|feelingly
close up|open up,free,open
unyoke|yoke
relax|strain,harden,stiffen,enforce,tip,cling,tense
length|brevity
cloudiness|revelation
radiolucent|radiopaque
monogamous|polygamous
fiendish|angelic,heavenly
indented|prominent
ludicrous|important,path,grave,momentous,sad,tragic,serious,sorrowful,mournful,lugubrious,melancholy
chirk up|complain
chatty|dumb
curst|blessed
construct|derange,destruct,destroy,overthrow,dismember,demolish
attempt|drop,abandon,method,motive,consummation,dismiss,shun,negleot
drapery|nudity
rivalry|cooperation
thick|incompact,narrative,crystalline,clear,distinct,articulate,air,pure,transparent,thin,sharp,sparse,rare,shrewd,shallow,thinly,scarce,limpid,infrequent
balance|imbalance,upset,unbalance,embezzle,overbalance,subveri,asymmetry,cant,tilt
poute|tart
exogamous|endogamous,autogamous
weakening|strengthening
kindness|enmity,oppression,venom,animosity,acrimony,unkindness
lying|honest,veracious
immaculate|defiled,sinfid,corrupt,tainted,polluted,machine,contaminated,impure,spotted
made|unmade
wrap up|unfurl,unwrap
being|nonexistence,nonentity,nature,manner,nonbeing,nullity
inorganic|organic
tear down|raise
unseemliness|decorum,seemliness
contents|vacuity
curse|benediction,communicate,deprecate,propitiation,bless,blessing
invalid|valid,solid
fewest|most
littleness|bigness,largeness,height
maniac|confused,foggy,hidden,latent,obscure,occult,inconspicuous,hazy,indistinct
silenced|unsilenced
nobility|serfdom,plebeianism,meanness,paltriness,babble,obscurity
imperious|yielding,docile,mild,compliant,submissive,gentle,ductile
at the most|at the least,at least
power mower|hand mower
extraneous|connected,internal,coordinate,intrinsic,vital,inherent,essential
uncoil|coil
partizan|nonpartisan
scattered|dense
abomination|enjoyment,desire,adoration,gratification,ablution,acquisition,blessing
ferny|fernless
known|hide,unknown
stream|percolate,flicker
condemnation|salvation,acquittal,absolution,approbation,propitiation,justification,apology
nurse|bottlefeed
coalition|rebellion,sedition,disruption,disagreement,alienation,mutiny
crime|foible,achievement,heroism,service,duty,well-doing,exploit,good,benefaction,deed,benefit
stickle|flow
irregularity|succession,sequence,system,symmetry,rule,perseverance,regularity
aliquant|aliquot
zealous|passionless,frigid,perfunctory,indifferent,apathetic,phlegmatic,cold,lukewarm,weak
good humour|ill humor
anomalousness|'quality
inexpedient|advisable,befitting,judicious,desirable,expedient
pampered|ascetic
warlike|unmilitary,friendly,amicable,civil,peaceable,pacific,peaceful
discreet|impulsive,unrestrained,reckless,imprudent,undiscerning,silly,heedless,indiscreet,foolish,hash
insincere|ingenuous,candid,hearty,plain,honest,simple,sincere
main|margin,beach,least,grotesque,dependent
sadness|happiness,joviality,felicity
maim|restore,invigorate,strengthen,mend
evict|admit,reinstate,settle,lodge,zocate
arrangement|lot,conjuncture,litter,feature,implication,miscellany,medley,jungle
anathemise|bless
sufficiency|defect,inadequacy,fault
revenue|impost
strip|dress,endow,hide,embellish,accouter,invest,enrich,garnish,adorn
pretense|truth,fact,honesty,actuality,openness,reality,frankness,simplicity,candor,sincerity,ingenuousness,guilelessness
credit|shame,distrust,censure,ignominy,disgrace,debit,insecurity,cash
maid|magnitude,matron
intensive|extensive
discountenance|sanction
fraudulent|honest,fair
brook|effervesce,broil
small-minded|magnificent
bearing|disconnection,appertain,inanity,deflection,absurdity,pendency,nonbearing,misbehavior,diversion,independence,irrelevancy,suspension
break of day|sunset
exoergic|endoergic
dry|bathe,emanate,maudlin,entertaining,wet,rich,dip,humid,infuse,flowing,florid,lactating,lively,immerse,juicy,witty,fulsome,moist,fresh
embroil|calm,separate,compose,arrange,extricate,remove,pacify
seeable|invisible
undesirable|advisable,eligible,profitable,goodly,desirable
messengers|environ
expressible|inexpressible
compass|fail,expand,mismanage,bungle,liberate
antidote|infection,intoxication
demure|frisky,lively,wanton,facetious,vivacious,jaunty,volatile,freakish,wild
untrusty|trustworthy
-abasement|price
fidelity|breach,disaffection,disloyalty,sedition,untruthfulness,infidelity,inaccuracy,treachery,inexactness
poor people|rich people,rich
balk|promote,instigate,aid
hyperbolize|understate
discomposed|composed,sedate
bald|polished,ivitty,rhetorical,periwigged,shaded,ornate,adorned,forested,scintillating,bright,elegant,witchcraft
suppressed|publicized,publicised
gainless|gainful
make|conceal,hide,undo,invert,break,betrothal,dawn,mourn,entice,unmake,mar
fulfil|adumbrate,disappoint,falsify,abortive,slight,darling,disregard,overlook,ignore,render,neglect
ingratitude|benediction,gratitude
hostilities|pacification
unassailable|vulnerable,faulty
extortionate|indulgent,bountiful,reasonable,fair,liberal,moderate
noisome|aromatic
eloquently|ineloquently
winnings|losings
admittance|barrier,ostracism
intensity|laxity,indifference,relaxation,coolness,debility,softness,languor
fortify|disarm,weaken,fortification
hoofed|unguiculate
undesigning|insidious
due|invidious,independent,extravagant,unsuitable,improper,unfair,preposterous,deficient,undue
nourished|malnourished
waking|sleeping
stator|rotor
taunt|encomium
devoid|fraught,furnished,supplied,abundant,provided,sufficient,bristling,replete,plentiful,full
invention|fact,material,nature
crusty|amiable,facile
avowed|neutral
dearth|excess,abundance,luxury,livery,plenty,plenitude
commit|pass,divest,disregard,let,misconsign,omit
incorrigible|corrigible
in-tray|out-basket
eudaemon|cacodemon
peripteral|apteral
vacillation|firmness,steadiness,inflexibility,determination,perseverance
hiding|revelation
bank|mistrust,distrust,withdraw
dejection|spirit,delight
undedicated|dedicated
recanta-|proposition
meaning|affidavit,solemnity,statement,inanition,proceeding,declaration
conciliative|antagonistic
bane|aliment,nourishment
magnetic|repulsive,geographic,nonmagnetic
noncolumned|columned
meaningless|sign,meaningful
beneficent|maleficent,pitiful,selfish,deplorable,pernicious
unliveried|liveried
unrhythmic|rhythmical,poet
salutary|injurious,lethal,pernicious,sick,baleful
minimally|maximally
shortcoming|excess
allied|neutral
unruffled|violent,warm,frantic
balm|effluvium
celerity|slowness,tardinets,inertness
labor|entertainment,pastime,luxuriate,recreation,diversion,implement,facility,leisure
inebriated|sober
highest|least
furtive|undisguised,unconcealed,overt,public,unreserved,open
sober|violent,passionate,humorous,mad,drunk,agitated,enliven,extravagant,uncontrolled,droll,insane,playful,furious,fickle,erratic,maudlin,excited,impassioned,fanciful,licentious,florid,intemperate,immoderate,jaunty,heated,unreasonable,frantic,freakish,fulsome,eccentric,intoxicated,fashion
mouthless|stomatous
tender-hearted|graceless
male|female,androgynous
sloioness|rapidity
spinster|matron
expel|suffer
unmelodic|melodious
invective|eulogy,encomium,commendation,praise,panegyric
latitude|discipline
uninjectable|injectable
uproar|calm,tranquillity,peace,quiet,silence,order
remember|forget,bury,anticipate,foresee
profane|hallow,holy,sacrament,sacred,embalm
partition|inclusion,collection,union,comprehension,combination
breast-fed|bottle-fed
expression|lineament,features,solecism,face,enigma,implication,suppression,repression,misstatement,falsification,restraint
atrocity|foible
pull in|repel,pull out
star|cipher,nobody
childhood|mankind,age
many|sparse,rare,one,few,scanty,scarce,infrequent,pair
misrule|law,regulation,govern,authority
stay|move,emigration,change,go,brandish,vacillate,wander,fluctuate,progress,quit,depart,travel,movement
dedicate|desecrate,alienate,misuse
dye|blanch
inspire|exhale,gag
legitimize|criminalize,outlaw,criminalise
progress|falling,initiative,obstruction,linger,relapse,regress,forbear,back,check,abide,off,stay,recede,delay,stoppage,stop,retrograde,decline,obstacle,retrogression
nastiness|niceness
devote|desecrate
operable|inoperable
barb|file
delectable|piteous,painful
treat|hardship
abortion|completion,development,triumph,performance,achievement,success,consummation,maximum,exploit,feat,realization,perfection
wholly|separately,incompletely,in,part,imperfectly,partly,partially
coding dna|intron
uninsured|insured
numbers|degree
adroitly|maladroitly
send away|hire
imperil|shelter,save,insure
stationary|erratic,giddy
uniformly|afresh,again,seldom
bare|flinch,luxurious,shelter,ornate,accouter,rich,bristling,garnish,dressed,florid,sheathed,hide,protected,gorgeous,covered,costly
barf|keep down
deck up|dress down
disarray|dress,order
sealed|unsealed
selfpossession|bewilderment
seedy|seedless
carnal|exalted,temperate,spiritual,refined,ethereal,pure,self-controlled
technophobe|technophile
farewell|greeting,salutation,welcome
unceremonious|formal,stiff,punctilious
hit the sack|get up,turn out
knock|praise
mass|iota,degree,section,bit,body,corps,jot,por-,marrow,fragment,unit,outskirts,particle,detail,element
muzzle|unmuzzle,article
contemptible|estimable,formidable,routine,noble,awful
speed|halt,wait,stop,decelerate,linger,hinder,keep,falter,flounder,hamper,hold
factory-made|homemade
admit|deny,debar,disoion,excommunicate,dismiss,banish,canvass,evict,eject,carp,hide,withhold,reject,repudiate,exclude
